101
0.00 9.00
0.10 9.00
0.20 9.01
0.30 9.03
0.40 9.06
0.50 9.09
0.60 9.13
0.70 9.18
0.80 9.24
0.90 9.30
1.00 9.37
1.10 9.45
1.20 9.53
1.30 9.63
1.40 9.73
1.50 9.83
1.60 9.95
1.70 10.07
1.80 10.20
1.90 10.34
2.00 10.48
2.10 10.63
2.20 10.79
2.30 10.96
2.40 11.13
2.50 11.31
2.60 11.50
2.70 11.70
2.80 11.90
2.90 12.11
3.00 12.33
3.10 12.56
3.20 12.79
3.30 13.03
3.40 13.28
3.50 13.53
3.60 13.80
3.70 14.07
3.80 14.34
3.90 14.63
4.00 14.92
4.10 15.22
4.20 15.53
4.30 15.84
4.40 16.16
4.50 16.49
4.60 16.83
4.70 17.17
4.80 17.52
4.90 17.88
5.00 18.25
5.10 18.62
5.20 19.00
5.30 19.39
5.40 19.79
5.50 20.19
5.60 20.60
5.70 21.02
5.80 21.45
5.90 21.88
6.00 22.32
6.10 22.77
6.20 23.22
6.30 23.69
6.40 24.16
6.50 24.63
6.60 25.12
6.70 25.61
6.80 26.11
6.90 26.62
7.00 27.13
7.10 27.65
7.20 28.18
7.30 28.72
7.40 29.26
7.50 29.81
7.60 30.37
7.70 30.94
7.80 31.51
7.90 32.09
8.00 32.68
8.10 33.28
8.20 33.88
8.30 34.49
8.40 35.11
8.50 35.73
8.60 36.37
8.70 37.01
8.80 37.65
8.90 38.31
9.00 38.97
9.10 39.64
9.20 40.32
9.30 41.00
9.40 41.69
9.50 42.39
9.60 43.10
9.70 43.81
9.80 44.53
9.90 45.26
10.00 46.00
